Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Label
-0.026968,1.096538,2.067408,3.131431,3.979307,4.686798,6.015044,7.018920,8.014952,9.111741,0.000000
0.029800,0.995480,2.035961,2.943995,3.979211,5.052407,5.936487,6.938590,8.043357,8.991383,0.000000
0.108468,1.043317,2.050646,3.041354,3.923919,4.941803,5.929694,6.921721,8.043294,9.124545,0.000000
0.132826,1.041794,2.071062,3.014123,3.954678,5.007299,5.980283,6.898457,8.076829,9.142526,0.000000
0.149739,1.126707,2.123384,3.070113,3.948955,4.932194,5.953758,6.944816,8.033279,9.166218,0.000000
0.159433,1.209511,2.096308,2.983852,3.986776,4.891007,5.930576,6.906972,8.081709,9.137321,0.000000
0.216731,1.334940,2.122237,2.986565,3.936779,4.833783,5.929906,6.887637,8.107338,9.135377,0.000000
0.281368,1.310407,2.161793,2.920126,3.939999,4.838334,6.001327,6.866625,8.104506,9.138234,0.000000
0.338129,1.359513,2.154153,2.874455,3.934964,4.813398,5.990520,6.855083,8.160033,9.176805,0.000000
0.288663,1.302545,2.183416,2.927885,3.948586,4.757547,5.957693,6.846387,8.159304,9.226387,0.000000
0.245832,1.278487,2.177643,2.885578,3.917938,4.717487,5.939767,6.899333,8.166955,9.192812,0.000000
0.269173,1.281923,2.170530,2.886413,3.943438,4.753138,5.926784,6.930110,8.086344,9.183403,0.000000
0.242116,1.292330,2.142942,2.860698,3.930156,4.777122,5.959826,6.851838,8.011376,9.228150,0.000000
0.178752,1.298266,2.109882,2.845220,3.849494,4.788923,5.975184,6.819809,8.028730,9.264549,0.000000
0.192062,1.286772,2.123636,2.910548,3.791486,4.784367,6.009308,6.863664,8.015843,9.229453,0.000000
0.216662,1.187799,2.153544,2.915336,3.807213,4.778095,6.014737,6.885112,8.076572,9.226141,0.000000
0.208470,1.234113,2.185775,2.924244,3.826411,4.793969,5.997114,6.948245,8.130627,9.302184,0.000000
0.235478,1.343046,2.206328,2.905609,3.801455,4.823293,5.982612,6.909493,8.165012,9.385169,0.000000
0.253278,1.362051,2.222828,2.990809,3.672469,4.844308,5.961137,6.916670,8.143100,9.386202,0.000000
0.280121,1.346837,2.146776,2.934470,3.623345,4.845235,6.065373,6.961382,8.170203,9.451191,0.000000
0.279567,1.349811,2.124471,2.911975,3.638000,4.872782,6.110326,7.003062,8.126150,9.457002,0.000000
0.254908,1.299016,2.209385,2.924397,3.650634,4.844462,6.101894,7.036930,8.134473,9.481191,0.000000
0.224517,1.212350,2.186178,3.022169,3.725074,4.846087,6.135726,7.065398,8.200035,9.486443,0.000000
0.249807,1.167838,2.154508,3.086574,3.770908,4.821343,6.200385,7.104971,8.222493,9.396099,0.000000
0.232761,1.156955,2.166442,3.067528,3.816469,4.722780,6.219272,7.050594,8.247072,9.283549,0.000000
0.239859,1.206394,2.175312,3.047401,3.795534,4.695168,6.174365,6.989989,8.177390,9.252887,0.000000
0.260083,1.130047,2.117588,3.030190,3.673856,4.636987,6.134785,6.993215,8.200661,9.237622,0.000000
0.202966,1.162340,2.045197,3.032009,3.657953,4.570364,6.104371,6.997983,8.138289,9.240461,0.000000
