Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Label
-0.317141,0.588829,1.928344,3.222194,3.816706,4.594856,5.799515,6.639242,7.903479,8.549059,0.000000
0.116684,1.049911,2.062209,2.917049,4.043067,5.125573,6.022514,7.092013,8.078077,9.037449,0.000000
0.039153,0.933196,2.000816,3.004209,3.969793,5.017830,6.020933,6.991643,8.044687,8.912450,0.000000
0.088417,0.949767,2.091411,2.980570,3.981342,5.102437,6.041037,7.059754,8.047105,9.047668,0.000000
0.107975,0.820074,2.146705,2.964546,3.995332,5.023087,5.983924,7.059959,8.070746,9.022639,0.000000
0.135172,0.867257,2.104905,2.895340,3.955829,5.095181,5.982527,7.144653,8.147498,9.039800,0.000000
0.124929,0.836289,2.040452,2.914320,3.904094,5.048817,5.950593,7.146791,8.122680,8.961637,0.000000
0.159345,0.842745,2.085976,2.886859,3.898450,5.054586,5.987799,7.182533,8.154765,8.970818,0.000000
0.099155,0.783683,2.078081,2.853711,3.860541,5.009782,5.941084,7.116878,8.149624,8.930055,0.000000
0.052758,0.784922,2.148601,2.829109,3.898713,5.030505,5.947546,7.186676,8.143520,9.001138,0.000000
0.079241,0.727668,2.157848,2.872402,3.906426,5.045200,5.950766,7.148426,8.131230,9.047603,0.000000
0.121233,0.733110,2.176926,2.866892,3.918606,4.980449,5.854552,7.211341,8.078889,9.068590,0.000000
0.138036,0.724722,2.156137,2.910065,3.897734,4.903989,5.884238,7.153794,8.132761,9.014052,0.000000
0.140995,0.722197,2.140417,2.945128,3.878541,4.886982,5.928251,7.117502,8.154892,9.051183,0.000000
0.113280,0.719187,2.107941,2.960559,3.826184,4.803752,5.910814,7.136115,8.124476,9.044485,0.000000
0.122513,0.761351,2.159016,2.949087,3.837892,4.778357,5.869192,7.094072,8.054443,9.077687,0.000000
0.055334,0.736107,2.142911,2.947612,3.872106,4.775237,5.890298,7.087580,8.041287,9.051163,0.000000
0.036796,0.754336,2.084843,2.918052,3.865312,4.771472,5.990409,7.058983,8.035055,9.071724,0.000000
0.005439,0.710430,2.056481,2.916105,3.841227,4.740180,5.989381,6.997005,7.980564,8.998168,0.000000
-0.041594,0.702194,2.034857,2.941671,3.874256,4.748687,6.027971,6.990058,7.952722,8.931234,0.000000
-0.064206,0.646967,2.020744,2.962603,3.849639,4.717818,5.993947,7.010464,7.865507,8.892865,0.000000
-0.057975,0.573263,2.024864,2.858993,3.919580,4.723844,6.014477,6.991751,7.904288,8.878843,0.000000
-0.103296,0.544349,1.987812,2.864796,3.941316,4.745858,5.992936,6.900000,7.865405,8.871138,0.000000
-0.181130,0.574645,2.025833,2.833513,3.906497,4.683242,6.050304,6.891527,7.859714,8.850280,0.000000
-0.112443,0.571942,2.049076,2.849486,3.943846,4.602881,6.141605,6.863178,7.819026,8.873533,0.000000
-0.096016,0.592091,2.056446,2.753116,3.950280,4.636162,6.123156,6.908735,7.770803,8.913110,0.000000
-0.097235,0.605302,2.101847,2.795308,3.891186,4.586108,6.044725,6.940907,7.867349,8.865728,0.000000
-0.044222,0.564274,2.179597,2.801151,3.745966,4.579869,6.038947,6.941796,7.899697,8.844993,0.000000
-0.046637,0.590220,2.173923,2.827325,3.715126,4.595653,6.043014,6.963331,7.915496,8.842177,0.000000
-0.058641,0.569849,2.243256,2.838006,3.681220,4.579592,5.995083,7.013611,7.941846,8.856499,0.000000
-0.039181,0.568906,2.277769,2.851111,3.630365,4.607118,5.943333,6.921802,7.951130,8.881659,0.000000
-0.066113,0.566477,2.279798,2.902486,3.688238,4.640266,5.887260,6.905045,7.958954,8.903429,0.000000
-0.058702,0.642304,2.320738,2.956642,3.676294,4.654458,5.893517,6.884323,8.021724,8.930368,0.000000
-0.069850,0.609122,2.404042,2.949221,3.721687,4.661850,5.911012,6.893812,7.942970,8.858318,0.000000
-0.122503,0.560502,2.406067,3.031050,3.783894,4.614395,5.863715,6.847802,7.912333,8.788413,0.000000
-0.167731,0.478418,2.379256,3.077992,3.741184,4.609274,5.903606,6.890032,7.865489,8.817426,0.000000
-0.240393,0.498125,2.366510,3.112037,3.692067,4.627185,5.892621,6.822127,7.869597,8.834284,0.000000
-0.298865,0.546514,2.354284,3.125733,3.666142,4.620984,5.812854,6.785878,7.867275,8.898223,0.000000
-0.269421,0.553587,2.335868,3.117176,3.676806,4.576281,5.753638,6.774205,7.845882,8.943427,0.000000
-0.266753,0.589457,2.323741,3.130154,3.682743,4.600817,5.797247,6.803951,7.897231,8.920911,0.000000
-0.275330,0.603547,2.321082,3.170935,3.634865,4.581012,5.817603,6.799360,7.880962,8.939183,0.000000
-0.345387,0.585663,2.257162,3.159762,3.544118,4.511590,5.796063,6.791025,7.891912,8.972131,0.000000
-0.367916,0.503715,2.223233,3.142264,3.575097,4.520260,5.802039,6.768764,7.944493,8.928798,0.000000
-0.425971,0.487237,2.225198,3.160806,3.599185,4.606420,5.751903,6.767061,8.027359,8.872463,0.000000
-0.408098,0.509667,2.116594,3.190001,3.558728,4.635012,5.772001,6.745125,8.058881,8.892266,0.000000
-0.384706,0.519056,2.041340,3.218204,3.608867,4.646253,5.767164,6.809902,8.103563,8.847717,0.000000
-0.353822,0.473851,1.978005,3.241496,3.597993,4.557474,5.784935,6.778883,8.144416,8.798730,0.000000
-0.440781,0.457843,1.969720,3.227007,3.566341,4.491416,5.814649,6.783677,8.057147,8.832301,0.000000
-0.529564,0.431499,1.963712,3.182943,3.631252,4.547387,5.808579,6.825146,8.018655,8.821309,0.000000
-0.565951,0.433133,2.021622,3.234830,3.604784,4.513085,5.780577,6.831138,8.054075,8.805603,0.000000
-0.617343,0.383830,1.986294,3.193029,3.540096,4.525652,5.860548,6.823905,8.056519,8.729703,0.000000
-0.715855,0.372266,1.934346,3.157727,3.522825,4.474988,5.840729,6.809798,8.051336,8.650842,0.000000
-0.747446,0.342319,1.967019,3.162937,3.532718,4.425625,5.814070,6.735322,7.987317,8.642952,0.000000
